Date,Calf_Price,Exchange_Rate_JPY_USD,U.S. Natural Gas Citygate Price (Dollars per Thousand Cubic Feet),CPI,Corn_Price
1/1/1996,60.5,105.843,3.14,154.4,3.09
2/1/1996,60.2,105.788,3.16,154.9,3.37
3/1/1996,59.4,105.94,3.17,155.7,3.51
4/1/1996,55.1,107.1995455,3.22,156.3,3.85
5/1/1996,54.4,106.3422727,3.18,156.6,4.14
6/1/1996,55.1,108.96,3.41,156.7,4.2
7/1/1996,56.8,109.1909091,3.49,157,4.43
8/1/1996,59.3,107.8659091,3.46,157.3,4.3
9/1/1996,61,109.931,3.05,157.8,3.56
10/1/1996,60.1,112.4122727,2.94,158.3,2.88
11/1/1996,61.2,112.2957895,3.46,158.6,2.66
12/1/1996,61.8,113.9809524,4.18,158.6,2.63
1/1/1997,68.1,117.912381,4.28,159.1,2.69
2/1/1997,74.9,122.9621053,3.76,159.6,2.65
3/1/1997,80,122.7738095,3.07,160,2.79
4/1/1997,82.2,125.6377273,2.92,160.2,2.8
5/1/1997,84.3,119.192381,3.11,160.1,2.69
6/1/1997,85.4,114.2857143,3.41,160.3,2.56
7/1/1997,86.9,115.3759091,3.44,160.5,2.42
8/1/1997,88,117.9295238,3.34,160.8,2.5
9/1/1997,86.9,120.89,3.5,161.2,2.52
10/1/1997,84.3,121.0604545,3.86,161.6,2.54
11/1/1997,82.9,125.3816667,4.76,161.5,2.51
12/1/1997,83.3,129.7340909,3.42,161.3,2.52
1/1/1998,86.6,129.5475,3.08,161.6,2.56
2/1/1998,88.7,125.8515789,3.08,161.9,2.55
3/1/1998,89.8,129.0822727,3.06,162.2,2.55
4/1/1998,90.8,131.7536364,3.23,162.5,2.41
5/1/1998,88.9,134.896,3.12,162.8,2.34
6/1/1998,81.7,140.3304545,2.98,163,2.28
7/1/1998,76.6,140.7873913,3.31,163.2,2.19
8/1/1998,76.9,144.68,3.01,163.4,1.89
9/1/1998,74.1,134.4804762,2.78,163.6,1.84
10/1/1998,75.7,121.0485714,2.99,164,1.91
11/1/1998,77.5,120.2894737,2.99,164,1.93
12/1/1998,80.2,117.0709091,3.1,163.9,2
1/1/1999,83.2,113.29,2.85,164.3,2.06
2/1/1999,86.9,116.6684211,2.92,164.5,2.05
3/1/1999,87.3,119.4730435,2.77,165,2.06
4/1/1999,88.2,119.7722727,2.88,166.2,2.04
5/1/1999,87.6,121.9995,3.25,166.2,1.99
6/1/1999,89,120.7245455,3.12,166.2,1.97
7/1/1999,89.2,119.3304762,3.11,166.7,1.74
8/1/1999,89.6,113.2268182,3.39,167.1,1.75
9/1/1999,90.9,106.8752381,3.59,167.9,1.75
10/1/1999,91.9,105.965,3.21,168.2,1.69
11/1/1999,93,104.6485,3.71,168.3,1.7
12/1/1999,98.6,102.5843478,3.19,168.3,1.82
1/1/2000,103,105.296,3.27,168.8,1.91
2/1/2000,105,109.3885,3.48,169.8,1.98
3/1/2000,109,106.3073913,3.54,171.2,2.03
4/1/2000,111,105.627,3.72,171.3,2.03
5/1/2000,107,108.3204545,4.15,171.5,2.11
6/1/2000,104,106.1254545,5.19,172.4,1.91
7/1/2000,106,108.2115,5.2,172.8,1.64
8/1/2000,106,108.0804348,4.63,172.8,1.52
9/1/2000,103,106.8375,5.21,173.7,1.61
10/1/2000,103,108.4428571,5.66,174,1.74
11/1/2000,106,109.0095238,5.2,174.1,1.86
12/1/2000,106,112.209,6.64,174,1.97
1/1/2001,108,116.6719048,8.91,175.1,1.98
2/1/2001,109,116.2336842,7.08,175.8,1.96
3/1/2001,112,121.505,6.1,176.2,1.96
4/1/2001,111,123.7709524,6.3,176.9,1.89
5/1/2001,111,121.7681818,5.77,177.7,1.82
6/1/2001,110,122.3509524,5.38,178,1.76
7/1/2001,108,124.4980952,4.03,177.5,1.87
8/1/2001,106,121.3669565,4.32,177.5,1.9
9/1/2001,107,118.6116667,3.66,178.3,1.91
10/1/2001,99.9,121.4536364,3.37,177.7,1.84
11/1/2001,96.9,122.4055,4.02,177.4,1.85
12/1/2001,101,127.5945,3.9,176.7,1.98
1/1/2002,102,132.6833333,3.79,177.1,1.97
2/1/2002,105,133.6426316,3.76,177.8,1.93
3/1/2002,105,131.0609524,3.84,178.8,1.94
4/1/2002,101,130.7718182,4.21,179.8,1.91
5/1/2002,99.5,126.375,4.07,179.8,1.93
6/1/2002,96.5,123.2905,4.15,179.9,1.97
7/1/2002,95.2,117.8990909,3.95,180.1,2.13
8/1/2002,94.9,118.9927273,3.67,180.7,2.38
9/1/2002,92.4,121.078,3.99,181,2.47
10/1/2002,92,123.9077273,4.32,181.3,2.34
11/1/2002,91.9,121.6078947,4.65,181.3,2.28
12/1/2002,95.3,121.8928571,4.74,180.9,2.32
1/1/2003,96.8,118.8133333,5.28,181.7,2.33
2/1/2003,97.2,119.3378947,5.83,183.1,2.34
3/1/2003,96.7,118.6871429,7.63,184.2,2.33
4/1/2003,98.9,119.895,5.6,183.8,2.34
5/1/2003,100,117.3680952,5.69,183.5,2.38
6/1/2003,101,118.3290476,6.4,183.7,2.34
