Actual,Forecast_SARIMAX,Dates
55.479407349389696,55.5265653218945,2019-03-01
56.95674233620846,55.68067023282587,2019-04-01
48.16265962016585,55.480451749918124,2019-05-01
49.001068815259394,55.010509467864544,2019-06-01
47.192381052259,54.86455422288666,2019-07-01
46.644855269554704,54.97151271957438,2019-08-01
47.028546981191845,55.22334975852864,2019-09-01
49.9037570399943,55.238436778675926,2019-10-01
50.82771976554911,55.489613720399056,2019-11-01
50.15978573253793,55.499982423128635,2019-12-01
52.95124388145225,55.45065928846055,2020-01-01
52.6840649519258,55.530430001696615,2020-02-01
50.24447075300761,55.49625953349082,2020-03-01
45.946233778088825,55.92514191954576,2020-04-01
41.49012754779607,55.998234490532646,2020-05-01
39.06116874162741,56.09112129136192,2020-06-01
42.70564631699627,55.99983490939852,2020-07-01
45.85588663705515,56.06068063447533,2020-08-01
46.815065390075205,55.75798821785224,2020-09-01
47.03626314980145,55.54741383178864,2020-10-01
48.52391450206077,55.325876796624456,2020-11-01
49.4711088724185,55.123903662510244,2020-12-01
48.94080239187049,54.87491798267117,2021-01-01
49.11764705882353,54.50375658031993,2021-02-01
47.73479368612177,54.62359091082526,2021-03-01
48.96931256412648,54.247974740223185,2021-04-01
44.816253361219005,53.68266736859602,2021-05-01
42.75848715631857,53.684471575271694,2021-06-01
44.38538348971335,53.596011654203934,2021-07-01
46.75731351179487,53.39394132594805,2021-08-01
44.52371209372112,54.2777556207721,2021-09-01
44.04809548620287,54.963792047371825,2021-10-01
43.19375626805946,54.805482332346045,2021-11-01
45.769483639306124,54.609300791900864,2021-12-01
47.319418866380204,54.589423751268185,2022-01-01
49.13855552910066,54.131711246618735,2022-02-01
47.13806411280869,53.930290675625756,2022-03-01
47.29551048638092,53.98972362680213,2022-04-01
46.72014378571028,53.99012769223305,2022-05-01
47.437840959481896,54.268236017316404,2022-06-01
48.36897728218358,54.590578471942315,2022-07-01
51.358122534744936,54.54325428945121,2022-08-01
50.8190996419208,55.26688794402254,2022-09-01
52.32725465058476,56.188973570016906,2022-10-01
53.27622541879575,55.84129860874887,2022-11-01
53.81076894543954,55.253733632012334,2022-12-01
54.10176827358409,54.90453602673148,2023-01-01
55.747947345164555,54.96037796993924,2023-02-01
59.05279319711822,55.14790259734982,2023-03-01
62.24743867096616,55.135235464128854,2023-04-01
63.36063815017228,55.585216992249435,2023-05-01
65.17924291802456,55.960184616854114,2023-06-01
64.69151775683395,56.244199061910415,2023-07-01
66.72406899072489,57.04811982934106,2023-08-01
68.0572461452522,57.84718506117304,2023-09-01
71.36609605828471,58.298536283687085,2023-10-01
70.11401990271072,58.63122598977959,2023-11-01
67.32873253661002,58.04039052235639,2023-12-01
72.08783181428251,57.93706883618347,2024-01-01
74.45677676373977,58.54655720278613,2024-02-01
78.26611912198774,58.70040034581492,2024-03-01
75.73700681633059,58.81463113826593,2024-04-01
77.08959338222836,58.82424147994083,2024-05-01
75.75035731300616,58.972966222723635,2024-06-01
72.2848874977854,59.36113299935001,2024-07-01
68.29378573648962,59.90549632217139,2024-08-01
67.6973530100726,59.869980541511254,2024-09-01
75.91063291079557,59.97733737719075,2024-10-01
76.95586558068267,60.00779026814273,2024-11-01
81.70028388553698,59.95022447146729,2024-12-01
